Id,SalePrice
1461,121079.90301210494
1462,156275.59657782933
1463,179737.87724190572
1464,199045.17404024737
1465,190656.96362959675
1466,169997.2457323472
1467,180718.61874186934
1468,161950.7656669147
1469,197627.40098825117
1470,117565.50760841733
1471,194983.5991634741
1472,100198.70889857697
1473,95950.30821617646
1474,143394.03354225622
1475,117194.6776096327
1476,358254.6390171681
1477,241811.41130911978
1478,278774.6331689757
1479,285021.3995810922
1480,526111.5250365603
1481,326194.14726182166
1482,206918.4419003005
1483,179155.06786023703
1484,160310.4501373344
1485,182855.07754813827
1486,193311.73678420924
1487,329415.85063281935
1488,238597.54257885428
1489,192743.16231413235
1490,235737.1179744444
1491,193367.8344219068
1492,91379.9013288744
1493,180648.1800221049
1494,281079.6889597366
1495,282815.1087372487
1496,231493.69804541068
1497,183977.6489734032
1498,163601.88959574114
1499,162035.78891552179
1500,156381.01700829307
1501,173161.5738409256
1502,147682.64880818658
1503,292550.6988489837
1504,238568.46666390792
1505,222680.31318468548
1506,192906.71668261266
1507,256313.50311868844
1508,199066.61676347864
1509,156934.92721991235
1510,144056.32997028547
1511,150404.7983583296
1512,182282.79539418232
1513,149256.77289620013
1514,153368.45114758707
1515,202326.00777877503
1516,156176.0361218717
1517,183109.8203202244
1518,131761.17177025627
1519,213657.39227628312
1520,125291.91469408941
1521,130197.33718944238
1522,180311.70281289032
1523,111004.48678893373
1524,124970.24113674623
1525,120123.77085646796
1526,113493.51356090029
1527,104243.32977048033
1528,143851.0514598131
1529,145086.7129588737
1530,193486.38748720184
1531,102908.70341006204
1532,94470.14914535129
1533,141751.4603718159
1534,124324.6234202086
1535,151777.2595664534
1536,107314.85737801086
1537,60564.745197955446
1538,149465.58837298982
1539,188803.34851509184
1540,90398.50732981817
1541,136709.98060555832
1542,134621.72636690864
1543,185607.1069439977
1544,86882.72307348638
1545,116434.0231199955
1546,127625.62747935734
1547,123473.94852277073
1548,133071.07231160864
1549,117839.18530017242
1550,126470.35244494541
1551,109206.91347231637
1552,128611.02061871625
1553,139839.65260325428
1554,119742.00348479109
1555,158741.62826522315
1556,88193.20741129066
1557,103320.56872622503
1558,104521.0852622267
1559,61811.987769894775
1560,127047.21586546322
1561,120900.25499401295
1562,130923.30630208351
1563,119450.31692081249
1564,156491.9766574303
1565,143316.03791229788
1566,239381.02459744565
1567,77902.16869618557
1568,230343.0577054518
1569,122680.92298237357
1570,141703.55572437544
1571,124330.74655173277
1572,142911.21019507016
1573,247112.75572915393
1574,117800.83169775728
1575,224676.56285523623
1576,249681.77504438526
1577,178225.883213513
1578,146695.77344134985
1579,142479.6404379157
1580,191758.35147394607
1581,156651.36110871803
1582,124659.17160061332
1583,306420.71518278564
1584,217642.39461024778
1585,138089.22991490946
1586,69984.15328432719
1587,101034.32021454156
1588,152517.1733342604
1589,98367.63074454441
1590,133348.8081683427
1591,90980.62757776151
1592,114394.61903305234
1593,124024.02460296586
1594,126088.68885794174
1595,102038.14111097314
1596,227314.87193820623
1597,192245.26944866395
1598,223980.2094673896
1599,168895.77053600884
1600,155130.26799003183
1601,69231.12551060195
1602,114376.55087424145
1603,73858.02430936402
1604,262875.5950974977
1605,243394.97621032802
1606,168896.66686904372
1607,182025.30636343878
1608,212091.14008930538
1609,181427.74107166467
1610,146045.76296297033
1611,134081.06597173205
1612,170788.29005239526
1613,164399.63772037052
1614,130997.0904621111
1615,92559.36562130258
1616,78778.20828117283
1617,96915.68758365736
1618,123464.01966131979
1619,141184.61709278077
1620,155206.94185793385
1621,139011.516926861
1622,137422.39662105025
1623,262756.3965780666
1624,211111.56464799875
1625,119986.27527720004
1626,172631.46744342687
1627,189144.28849066608
1628,286172.082017384
1629,171474.5818802967
1630,366942.0484313206
1631,214320.52524108527
1632,235711.06014104432
1633,165737.02518467174
1634,180690.23197212405
1635,172204.97116224247
1636,153441.20515292927
1637,203545.00821766217
1638,181432.31842569608
1639,187269.36037053537
1640,258115.97896017315
1641,180189.9299938265
1642,235510.0444527111
1643,213388.09866768052
1644,226896.6903093149
1645,198349.37714186433
1646,160437.42312827887
1647,156576.19158925774
1648,129492.0146217927
1649,140185.20339466716
1650,111838.55615988938
1651,122542.02827594584
1652,101084.18476191207
1653,104685.93583404852
1654,136067.48740060712
1655,131879.07171138923
1656,135515.42575437992
1657,137303.44792082807
1658,136279.94699440867
1659,118726.66306323404
1660,155939.34475968743
1661,441524.367998544
1662,416459.76237429795
1663,374416.9064294769
1664,559859.5888262215
1665,298405.41891951335
1666,329784.4042334123
1667,389072.6909881596
1668,330074.86303769157
1669,294368.2679977888
1670,339657.75111316505
1671,257758.4966976978
1672,458782.4347205708
1673,281883.7908083745
1674,234179.8315582227
1675,192349.030007391
1676,192884.77960012795
1677,220430.4298331028
1678,494888.5757860214
1679,395930.3457951982
1680,328262.2642320205
1681,245959.6708334838
1682,309319.7199760407
1683,180004.8312479023
1684,175142.70932579413
1685,170834.55216980213
1686,165643.02149432397
1687,167862.4784413242
1688,187473.48142582542
1689,192733.10754680674
1690,194405.5242667356
1691,182206.98028977457
1692,260728.6280476993
1693,162429.82843052805
1694,181445.47000883202
1695,162973.80635886602
1696,270607.24897017586
1697,170921.48132273002
1698,340390.541268951
1699,289062.7941413796
1700,240621.6739868846
1701,262581.80986154935
1702,244790.8043600513
1703,243081.5440099591
1704,285305.6197297866
1705,232123.3336296156
1706,464775.9437287325
1707,210578.50607965523
1708,199545.52988066027
1709,263904.82535984
1710,215845.165067129
1711,268345.6756254812
1712,257435.5163496037
1713,275618.811608099
1714,219931.952976827
1715,205732.11950848103
1716,183069.10130558294
1717,171106.1240509365
1718,134281.46118518937
1719,209194.87057189943
1720,239860.10447492337
1721,164424.95512449674
1722,125994.52010794
1723,157155.8041667094
1724,207835.05277946667
1725,237602.82870137642
1726,185066.75565694735
